,DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNWCMIN INCHES,Unnamed: 6,SNWCMAX INCHES,Unnamed: 8,PPT INC INCHES,Unnamed: 10,RAIN INCHES,Unnamed: 12
0,10/01/2014,0.0,,0.0,r,-0.24,,0.12,,--,,--,
1,10/02/2014,-0.12,,0.0,r,-0.36,,0.24,,0.08,,0.08,
2,10/03/2014,0.0,,0.0,r,-0.24,,0.24,,0.04,,0.12,
3,10/04/2014,0.0,,0.0,r,-0.24,,0.24,,0.04,,0.16,
4,10/05/2014,0.0,,0.0,r,-0.24,,0.24,,0.04,,0.20,
5,10/06/2014,0.0,,0.0,r,-0.24,,0.24,,0.00,,0.20,
6,10/07/2014,-0.12,,0.0,r,-0.24,,0.12,,0.00,,0.20,
7,10/08/2014,-0.12,,0.0,r,-0.36,,0.12,,0.00,,0.20,
8,10/09/2014,-0.12,,0.0,r,-0.36,,0.0,,0.00,,0.20,
9,10/10/2014,-0.24,,0.0,r,-0.24,,0.48,,0.00,,0.20,
10,10/11/2014,0.24,,0.0,r,0.0,,0.48,,0.00,,0.20,
11,10/12/2014,0.12,,0.0,r,0.0,,0.36,,0.00,,0.20,
12,10/13/2014,0.24,,0.0,r,0.0,,0.36,,0.00,,0.20,
13,10/14/2014,0.12,,0.0,r,0.0,,0.24,,0.00,,0.20,
14,10/15/2014,0.36,,0.0,r,0.12,,0.36,,1.52,,1.72,
15,10/16/2014,0.24,,0.0,r,0.0,,0.48,,0.12,,1.84,
16,10/17/2014,0.24,,0.0,r,0.12,,0.36,,0.00,,1.84,
17,10/18/2014,0.24,,0.0,r,0.0,,0.6,,0.12,,1.96,
18,10/19/2014,0.36,,0.0,r,0.0,,0.48,,0.00,,1.96,
19,10/20/2014,0.24,,0.0,r,0.12,,0.48,,0.76,,2.72,
20,10/21/2014,0.36,,0.0,r,0.0,,0.48,,0.12,,2.84,
21,10/22/2014,0.36,,0.0,r,0.12,,0.48,,0.00,,2.84,
22,10/23/2014,0.36,,0.0,r,0.24,,0.36,,0.00,,2.84,
23,10/24/2014,0.24,,0.0,r,0.12,,0.6,,0.12,,2.96,
24,10/25/2014,0.36,,0.0,r,0.36,,0.48,,2.36,,5.32,
25,10/26/2014,0.48,,0.0,r,0.12,,0.48,,0.40,,5.72,
26,10/27/2014,0.36,,0.0,r,0.12,,0.48,,0.04,,5.76,
27,10/28/2014,0.36,,0.0,r,0.12,,0.6,,0.08,,5.84,
28,10/29/2014,0.36,,0.0,r,0.24,,0.6,,0.00,,5.84,
29,10/30/2014,0.36,,0.0,r,0.24,,0.48,,0.00,,5.84,
30,10/31/2014,0.24,,0.0,r,0.24,,0.36,,1.24,,7.08,
31,11/01/2014,0.36,,0.0,r,0.24,,0.36,,0.84,,7.92,
32,11/02/2014,0.24,,0.0,r,0.12,,0.48,,0.16,,8.08,
33,11/03/2014,0.24,,0.0,r,0.12,,0.48,,0.04,,8.12,
34,11/04/2014,0.36,,0.0,r,0.12,,0.48,,0.04,,8.16,
35,11/05/2014,0.36,,0.0,r,0.24,,0.48,,0.08,,8.24,
36,11/06/2014,0.36,,0.0,r,0.24,,0.48,,0.00,,8.24,
37,11/07/2014,0.24,,0.0,r,0.12,,0.48,,0.00,,8.24,
38,11/08/2014,0.24,,0.0,r,0.12,,0.48,,0.00,,8.24,
39,11/09/2014,0.24,,0.0,r,0.12,,0.36,,0.00,,8.24,
40,11/10/2014,0.24,,0.0,r,0.12,,0.36,,0.00,,8.24,
41,11/11/2014,0.12,,0.0,r,0.12,,0.24,,0.00,,8.24,
