,DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNWCMIN INCHES,Unnamed: 6,SNWCMAX INCHES,Unnamed: 8,PPT INC INCHES,Unnamed: 10,RAIN INCHES,Unnamed: 12,TEMP MN DEG F,Unnamed: 14,TEMP MX DEG F,Unnamed: 16,TEMP AV DEG F,Unnamed: 18
0,10/01/2014,-3.00,,0.00,r,-3.00,,-2.88,,0.00,,0.0,,32,,58,,42,
1,10/02/2014,-3.00,,0.00,r,-3.00,,-3.00,,0.00,,0.0,,35,,72,,49,
2,10/03/2014,-3.00,,0.00,r,-3.12,,-3.00,,0.00,,0.0,,44,,77,,56,
3,10/04/2014,-3.12,,0.00,r,-3.12,,-3.12,,0.00,,0.0,,48,,79,,59,
4,10/05/2014,-3.12,,0.00,r,-3.12,,-3.12,,0.00,,0.0,,48,,79,,58,
5,10/06/2014,-3.12,,0.00,r,-3.24,,-3.12,,0.00,,0.0,,49,,80,,60,
6,10/07/2014,-3.24,,0.00,r,-3.24,,-3.12,,0.00,,0.0,,48,,72,,58,
7,10/08/2014,-3.24,,0.00,r,-3.24,,-3.12,,0.00,,0.0,,43,,65,,53,
8,10/09/2014,-3.24,,0.00,r,-3.36,,-3.24,,0.00,,0.0,,41,,66,,51,
9,10/10/2014,-3.36,,0.00,r,-3.36,,-3.36,,0.00,,0.0,,41,,68,,52,
10,10/11/2014,-3.36,,0.00,r,-3.36,,-2.88,,0.00,,0.0,,44,,66,,53,
11,10/12/2014,-3.12,,0.00,r,-3.12,,-3.00,,0.00,,0.0,,33,,66,,46,
12,10/13/2014,-3.24,,0.00,r,-3.24,,-3.12,,0.00,,0.0,,41,,71,,55,
13,10/14/2014,-3.24,,0.00,r,-3.36,,-3.24,,0.00,,0.0,,40,,60,,49,
14,10/15/2014,-3.36,,0.00,r,-3.36,,-3.24,,0.57,,0.57,,32,,39,,36,
