,DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,PPT INC INCHES,Unnamed: 6,RAIN INCHES,Unnamed: 8
0,10/01/2014,0.0,,0.0,r,--,,--,
1,10/02/2014,0.0,,0.0,r,0.08,,0.08,
2,10/03/2014,0.12,,0.0,r,0.08,,0.16,
3,10/04/2014,0.12,,0.0,r,0.04,,0.20,
4,10/05/2014,0.12,,0.0,r,0.00,,0.20,
5,10/06/2014,0.12,,0.0,r,0.00,,0.20,
6,10/07/2014,0.12,,0.0,r,0.00,,0.20,
7,10/08/2014,0.12,,0.0,r,0.00,,0.20,
8,10/09/2014,0.12,,0.0,r,0.00,,0.20,
9,10/10/2014,0.12,,0.0,r,0.00,,0.20,
10,10/11/2014,0.12,,0.0,r,0.00,,0.20,
11,10/12/2014,0.12,,0.0,r,0.00,,0.20,
12,10/13/2014,0.12,,0.0,r,0.00,,0.20,
13,10/14/2014,0.12,,0.0,r,0.00,,0.20,
14,10/15/2014,0.12,,0.0,r,0.48,,0.68,
15,10/16/2014,0.12,,0.0,r,0.24,,0.92,
16,10/17/2014,0.12,,0.0,r,0.00,,0.92,
17,10/18/2014,0.0,,0.0,r,0.08,,1.00,
18,10/19/2014,0.12,,0.0,r,0.00,,1.00,
19,10/20/2014,0.12,,0.0,r,0.00,,1.00,
20,10/21/2014,0.12,,0.0,r,0.12,,1.12,
21,10/22/2014,0.12,,0.0,r,0.04,,1.16,
22,10/23/2014,0.12,,0.0,r,0.04,,1.20,
23,10/24/2014,0.0,,0.0,r,0.32,,1.52,
24,10/25/2014,0.0,,0.0,r,0.56,,2.08,
25,10/26/2014,0.0,,0.0,r,0.60,,2.68,
26,10/27/2014,-0.12,,0.0,r,0.00,,2.68,
27,10/28/2014,-0.12,,0.0,r,0.20,,2.88,
28,10/29/2014,-0.24,,0.0,r,0.00,,2.88,
29,10/30/2014,-0.24,,0.0,r,0.00,,2.88,
30,10/31/2014,0.0,,0.0,r,0.00,,2.88,
31,11/01/2014,0.0,,0.0,r,0.24,,3.12,
32,11/02/2014,0.36,,0.0,r,0.20,,3.32,
33,11/03/2014,0.48,,0.0,r,0.08,,3.40,
34,11/04/2014,-0.12,,0.0,r,0.08,,3.48,
35,11/05/2014,-0.12,,0.0,r,0.12,,3.60,
36,11/06/2014,-0.12,,0.0,r,0.00,,3.60,
37,11/07/2014,-0.12,,0.0,r,0.04,,3.64,
38,11/08/2014,0.0,,0.0,r,0.00,,3.64,
39,11/09/2014,0.0,,0.0,r,0.00,,3.64,
40,11/10/2014,0.0,,0.0,r,0.00,,3.64,
41,11/11/2014,0.0,,0.0,r,0.00,,3.64,
42,11/12/2014,0.0,,0.0,r,0.00,,3.64,
43,11/13/2014,0.0,,0.0,r,0.00,,3.64,
44,11/14/2014,0.0,,0.0,r,0.00,,3.64,
45,11/15/2014,0.0,,0.0,r,0.12,,3.76,
46,11/16/2014,0.36,,0.36,r,0.00,,3.76,
47,11/17/2014,0.72,,0.72,r,0.00,,3.76,
48,11/18/2014,0.72,,0.72,r,0.00,,3.76,
49,11/19/2014,1.08,,1.08,,0.08,,3.84,
50,11/20/2014,1.2,,1.2,,0.12,,3.96,
51,11/21/2014,0.96,,0.96,,0.16,,4.12,
52,11/22/2014,0.48,,0.48,,1.28,,5.40,
53,11/23/2014,0.36,,0.36,,0.04,,5.44,
54,11/24/2014,0.6,,0.6,,0.12,,5.56,
55,11/25/2014,0.6,,0.6,,0.16,,5.72,
56,11/26/2014,0.96,,0.96,,0.08,,5.80,
57,11/27/2014,0.6,,0.6,,0.00,,5.80,
58,11/28/2014,-0.24,,0.12,,0.16,,5.96,
59,11/29/2014,0.24,,0.24,,0.72,,6.68,
60,11/30/2014,0.12,,0.12,,0.48,,7.16,
61,12/01/2014,0.36,,0.36,,0.44,,7.60,
62,12/02/2014,0.24,,0.24,,0.80,,8.40,
63,12/03/2014,0.72,,0.72,,2.56,,10.96,
64,12/04/2014,1.2,,1.2,,0.40,,11.36,
65,12/05/2014,0.84,,0.84,,0.76,,12.12,
66,12/06/2014,0.6,,0.6,,0.80,,12.92,
67,12/07/2014,0.12,,0.12,,0.04,,12.96,
68,12/08/2014,0.24,,0.24,,0.00,,12.96,
69,12/09/2014,-0.12,,0.0,r,0.08,,13.04,
70,12/10/2014,-0.24,,0.0,r,1.08,,14.12,
71,12/11/2014,0.0,,0.0,,3.80,,17.92,
72,12/12/2014,3.12,,3.12,,1.04,,18.96,
73,12/13/2014,3.36,,3.36,,0.20,,19.16,
74,12/14/2014,3.36,,3.36,,0.00,,19.16,
75,12/15/2014,3.36,,3.36,,0.60,,19.76,
76,12/16/2014,4.08,,4.08,,1.08,,20.84,
