,DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,PPT INC INCHES,Unnamed: 6,RAIN INCHES,Unnamed: 8
0,10/01/2015,0.48,,0.0,r,--,,--,
1,10/02/2015,0.36,,0.0,r,--,,--,
2,10/03/2015,0.36,,0.0,r,--,,--,
3,10/04/2015,0.48,,0.0,r,--,,--,
4,10/05/2015,0.48,,0.0,r,0.12,,0.12,
5,10/06/2015,0.36,,0.0,r,0.00,,0.12,
6,10/07/2015,0.36,,0.0,r,0.00,,0.12,
7,10/08/2015,0.48,,0.0,r,0.00,,0.12,
8,10/09/2015,0.36,,0.0,r,0.12,,0.24,
9,10/10/2015,0.36,,0.0,r,0.00,,0.24,
10,10/11/2015,0.36,,0.0,r,0.00,,0.24,
11,10/12/2015,0.36,,0.0,r,0.00,,0.24,
12,10/13/2015,0.36,,0.0,r,0.00,,0.24,
13,10/14/2015,0.36,,0.0,r,0.00,,0.24,
14,10/15/2015,0.36,,0.0,r,0.00,,0.24,
15,10/16/2015,0.36,,0.0,r,0.00,,0.24,
16,10/17/2015,0.36,,0.0,r,0.00,,0.24,
17,10/18/2015,0.36,,0.0,r,0.08,,0.32,
18,10/19/2015,0.36,,0.0,r,0.00,,0.32,
19,10/20/2015,0.36,,0.0,r,0.00,,0.32,
20,10/21/2015,0.36,,0.0,r,0.12,,0.44,
21,10/22/2015,0.24,,0.0,r,0.00,,0.44,
22,10/23/2015,0.12,,0.0,r,0.00,,0.44,
23,10/24/2015,0.00,,0.0,r,0.00,,0.44,
24,10/25/2015,0.12,,0.0,r,0.00,,0.44,
25,10/26/2015,0.12,,0.0,r,0.00,,0.44,
26,10/27/2015,0.12,,0.0,r,0.00,,0.44,
27,10/28/2015,0.12,,0.0,r,0.00,,0.44,
28,10/29/2015,0.12,,0.0,r,0.00,,0.44,
29,10/30/2015,0.12,,0.0,r,0.08,,0.52,
30,10/31/2015,0.12,,0.0,r,0.00,,0.52,
31,11/01/2015,0.24,,0.0,r,0.36,,0.88,
32,11/02/2015,0.72,,0.48,r,0.00,,0.88,
33,11/03/2015,1.56,,1.32,r,0.32,,1.20,
34,11/04/2015,1.44,,1.2,r,0.08,,1.28,
35,11/05/2015,1.32,,1.08,r,0.44,,1.72,
36,11/06/2015,1.32,,1.08,r,0.68,,2.40,
37,11/07/2015,1.32,,1.08,r,0.36,,2.76,
38,11/08/2015,1.32,,1.08,r,0.00,,2.76,
39,11/09/2015,1.80,,1.56,r,0.00,,2.76,
40,11/10/2015,2.16,,1.92,r,0.00,,2.76,
41,11/11/2015,2.04,,1.8,r,0.52,,3.28,
42,11/12/2015,2.04,,1.8,r,0.52,,3.80,
43,11/13/2015,2.04,,1.8,r,0.44,,4.24,
44,11/14/2015,2.16,,1.92,r,0.08,,4.32,
45,11/15/2015,2.16,,1.92,r,0.00,,4.32,
46,11/16/2015,--,,2.76,r,0.00,,4.32,
47,11/17/2015,3.00,,2.76,r,0.56,,4.88,
48,11/18/2015,3.00,,2.76,r,0.48,,5.36,
49,11/19/2015,3.00,,2.76,r,0.44,,5.80,
50,11/20/2015,2.88,,2.64,r,0.12,,5.92,
51,11/21/2015,2.88,,2.64,r,0.08,,6.00,
52,11/22/2015,2.88,,2.64,r,0.00,,6.00,
53,11/23/2015,2.88,,2.64,r,0.00,,6.00,
54,11/24/2015,2.88,,2.64,r,0.00,,6.00,
55,11/25/2015,4.08,,3.84,r,0.00,,6.00,
56,11/26/2015,4.08,,3.84,r,0.00,,6.00,
57,11/27/2015,4.08,,3.84,r,0.00,,6.00,
58,11/28/2015,3.96,,3.72,r,0.00,,6.00,
59,11/29/2015,3.84,,3.6,r,0.00,,6.00,
60,11/30/2015,3.96,,3.72,r,0.00,,6.00,
61,12/01/2015,3.96,,3.72,r,0.12,,6.12,
62,12/02/2015,4.08,,3.84,r,0.76,,6.88,
63,12/03/2015,4.08,,3.84,r,0.16,,7.04,
64,12/04/2015,5.52,,5.28,r,0.00,,7.04,
65,12/05/2015,5.76,,5.52,r,0.00,,7.04,
66,12/06/2015,5.76,,5.52,r,1.84,,8.88,
67,12/07/2015,6.12,,5.88,r,1.04,,9.92,
68,12/08/2015,6.00,,5.76,r,0.60,,10.52,
69,12/09/2015,6.00,,5.76,r,0.32,,10.84,
70,12/10/2015,6.00,,5.76,r,3.24,,14.08,
71,12/11/2015,7.92,,7.68,r,1.00,,15.08,
72,12/12/2015,8.04,,7.8,r,0.00,,15.08,
73,12/13/2015,8.16,,7.92,r,1.52,,16.60,
74,12/14/2015,9.72,,9.48,r,0.00,,16.60,
75,12/15/2015,9.72,,9.48,r,0.08,,16.68,
76,12/16/2015,9.72,,9.48,r,0.20,,16.88,
77,12/17/2015,9.72,,9.48,r,0.12,,17.00,
78,12/18/2015,9.72,,9.48,r,0.84,,17.84,
79,12/19/2015,10.68,,10.44,r,0.60,,18.44,
80,12/20/2015,10.92,,10.68,r,0.24,,18.68,
81,12/21/2015,11.40,,11.16,r,2.40,,21.08,
82,12/22/2015,14.28,,14.04,r,2.40,,23.48,
83,12/23/2015,15.24,,15.0,r,0.08,,23.56,
84,12/24/2015,15.24,,15.0,r,1.04,,24.60,
85,12/25/2015,16.08,,15.84,r,0.12,,24.72,
86,12/26/2015,16.08,,15.84,r,0.08,,24.80,
87,12/27/2015,16.08,,15.84,r,0.12,,24.92,
88,12/28/2015,16.20,,15.96,r,0.08,,25.00,
89,12/29/2015,16.20,,15.96,r,0.00,,25.00,
90,12/30/2015,16.08,,15.84,r,0.08,,25.08,
91,12/31/2015,16.20,,15.96,r,0.00,,25.08,
92,01/01/2016,16.08,,15.84,r,0.00,,25.08,
93,01/02/2016,16.08,,15.84,r,0.00,,25.08,
94,01/03/2016,16.08,,15.84,r,0.08,,25.16,
95,01/04/2016,16.20,,15.96,r,0.12,,25.28,
96,01/05/2016,16.44,,16.2,r,0.76,,26.04,
97,01/06/2016,17.28,,17.04,r,0.36,,26.40,
98,01/07/2016,17.64,,17.4,r,0.12,,26.52,
99,01/08/2016,17.52,,17.28,r,0.00,,26.52,
100,01/09/2016,17.52,,17.28,r,0.12,,26.64,
101,01/10/2016,17.64,,17.4,r,0.28,,26.92,
102,01/11/2016,17.64,,17.4,r,0.00,,26.92,
103,01/12/2016,17.64,,17.4,r,0.00,,26.92,
104,01/13/2016,17.88,,17.64,r,1.84,,28.76,
105,01/14/2016,19.32,,19.08,r,1.40,,30.16,
106,01/15/2016,20.64,,20.4,r,0.44,,30.60,
107,01/16/2016,21.00,,20.76,r,0.40,,31.00,
108,01/17/2016,21.48,,21.24,r,1.12,,32.12,
109,01/18/2016,22.92,,22.68,r,1.08,,33.20,
110,01/19/2016,23.28,,23.04,r,1.76,,34.96,
111,01/20/2016,24.48,,24.24,r,0.12,,35.08,
112,01/21/2016,24.60,,24.36,r,0.28,,35.36,
113,01/22/2016,24.60,,24.36,r,0.92,,36.28,
114,01/23/2016,25.32,,25.08,r,1.28,,37.56,
115,01/24/2016,26.16,,25.92,r,0.32,,37.88,
116,01/25/2016,26.40,,26.16,r,0.04,,37.92,
117,01/26/2016,26.40,,26.16,r,0.08,,38.00,
