,DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNOW DP INCHES,Unnamed: 6
0,10/01/2016,0.45,,0.0,r,-0,
1,10/02/2016,0.28,,0.0,r,0,
2,10/03/2016,0.6,,0.0,r,0,
3,10/04/2016,0.65,,0.0,r,0,
4,10/05/2016,0.73,,0.0,r,-0,
5,10/06/2016,0.74,,0.0,r,-0,
6,10/07/2016,0.67,,0.0,r,0,
7,10/08/2016,0.63,,0.0,r,-0,
8,10/09/2016,0.58,,0.0,r,-0,
9,10/10/2016,0.52,,0.0,r,-0,
10,10/11/2016,0.52,,0.0,r,0,
11,10/12/2016,0.52,,0.0,r,-0,
12,10/13/2016,0.52,,0.0,r,-0,
13,10/14/2016,0.78,,0.0,r,-0,
14,10/15/2016,0.54,,0.0,r,0,
15,10/16/2016,0.58,,0.0,r,0,
16,10/17/2016,0.65,,0.0,r,-0,
17,10/18/2016,0.66,,0.0,r,-0,
18,10/19/2016,0.78,,0.0,r,1,
19,10/20/2016,0.68,,0.0,r,0,
20,10/21/2016,0.67,,0.0,r,-0,
21,10/22/2016,0.67,,0.0,r,-0,
22,10/23/2016,0.68,,0.0,r,0,
23,10/24/2016,0.64,,0.0,r,-0,
24,10/25/2016,0.74,,0.0,r,-0,
25,10/26/2016,0.69,,0.0,r,-1,
26,10/27/2016,0.65,,0.0,r,--,
27,10/28/2016,0.69,,0.0,r,0,
28,10/29/2016,0.73,,0.0,r,0,
29,10/30/2016,0.65,,0.0,r,-0,
30,10/31/2016,0.77,,0.0,r,-0,
31,11/01/2016,1.67,,0.0,r,7,
32,11/02/2016,1.58,,0.0,r,4,
33,11/03/2016,1.49,,0.0,r,2,
34,11/04/2016,1.43,,1.23,r,1,
35,11/05/2016,1.53,,1.33,r,--,
36,11/06/2016,0.87,,0.67,r,-0,
37,11/07/2016,0.76,,0.0,r,0,
38,11/08/2016,0.93,,0.0,r,-0,
39,11/09/2016,0.93,,0.0,r,0,
40,11/10/2016,0.91,,0.0,r,-0,
41,11/11/2016,0.91,,0.0,r,0,
42,11/12/2016,0.88,,0.0,r,-0,
43,11/13/2016,0.93,,0.0,r,-1,
44,11/14/2016,0.97,,0.0,r,-0,
45,11/15/2016,0.87,,0.0,r,-0,
46,11/16/2016,0.95,,0.0,r,0,
47,11/17/2016,0.76,,0.0,r,1,
48,11/18/2016,0.97,,0.02,r,1,
49,11/19/2016,1.04,,0.09,r,0,
50,11/20/2016,2.97,,2.02,r,13,
51,11/21/2016,3.3,,2.35,r,10,
52,11/22/2016,3.1,,2.15,r,9,
53,11/23/2016,3.64,,2.69,r,12,
54,11/24/2016,3.79,,2.84,r,12,
55,11/25/2016,3.77,,2.82,r,11,
56,11/26/2016,3.96,,3.01,r,12,
57,11/27/2016,5.15,,4.2,r,22,
58,11/28/2016,5.36,,4.41,r,21,
59,11/29/2016,5.33,,4.38,r,19,
60,11/30/2016,5.25,,4.3,r,18,
61,12/01/2016,5.25,,4.3,r,17,
62,12/02/2016,5.18,,4.23,r,17,
63,12/03/2016,5.12,,4.17,r,16,
64,12/04/2016,5.09,,4.14,r,15,
65,12/05/2016,5.2,,4.25,r,13,
66,12/06/2016,5.02,,4.07,r,13,
67,12/07/2016,5.12,,4.17,r,--,
68,12/08/2016,5.72,,4.77,r,17,
69,12/09/2016,5.88,,4.93,r,16,
70,12/10/2016,5.76,,4.81,r,12,
71,12/11/2016,5.15,,4.2,r,10,
72,12/12/2016,5.18,,4.23,r,10,
73,12/13/2016,4.93,,3.98,r,10,
74,12/14/2016,5.9,,4.95,r,14,
75,12/15/2016,5.78,,4.83,r,10,
76,12/16/2016,5.52,,4.57,r,10,
77,12/17/2016,5.6,,4.65,r,9,
78,12/18/2016,5.78,,4.83,r,9,
79,12/19/2016,5.48,,4.53,r,10,
80,12/20/2016,4.77,,3.82,r,10,
81,12/21/2016,5.84,,4.89,r,--,
82,12/22/2016,6.17,,5.22,r,9,
83,12/23/2016,5.51,,4.56,r,11,
84,12/24/2016,7.07,,6.12,r,22,
85,12/25/2016,7.22,,6.27,r,20,
86,12/26/2016,7.24,,6.29,r,19,
87,12/27/2016,7.18,,6.23,r,--,
88,12/28/2016,7.17,,6.22,r,18,
89,12/29/2016,7.2,,6.25,r,17,
