,DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNWCMIN INCHES,Unnamed: 6,SNWCMAX INCHES,Unnamed: 8,PPT INC INCHES,Unnamed: 10,RAIN INCHES,Unnamed: 12
0,10/01/2016,0.16,,0.0,r,-0.45,,0.44,,0.00,,0.0,
1,10/02/2016,0.10,,0.0,r,-0.42,,0.59,,0.00,,0.0,
2,10/03/2016,0.36,,0.0,r,0.31,,0.50,,0.00,,0.0,
3,10/04/2016,0.36,,0.0,r,-0.28,,0.60,,0.08,,0.08,
4,10/05/2016,0.32,,0.0,r,-0.38,,0.65,,0.04,,0.12,
5,10/06/2016,0.26,,0.0,r,-0.50,,0.48,,0.04,,0.16,
6,10/07/2016,0.21,,0.0,r,-0.53,,0.44,,0.04,,0.2,
7,10/08/2016,0.24,,0.0,r,-0.52,,0.39,,0.00,,0.2,
8,10/09/2016,0.26,,0.0,r,-0.50,,0.39,,0.00,,0.2,
9,10/10/2016,0.26,,0.0,r,-0.49,,0.38,,0.00,,0.2,
10,10/11/2016,0.22,,0.0,r,-0.45,,0.44,,0.00,,0.2,
11,10/12/2016,0.19,,0.0,r,-0.52,,0.41,,0.00,,0.2,
12,10/13/2016,0.15,,0.0,r,-0.23,,0.36,,0.00,,0.2,
13,10/14/2016,0.27,,0.0,r,0.14,,0.39,,1.56,,1.76,
14,10/15/2016,0.29,,0.0,r,0.16,,0.45,,1.32,,3.08,
15,10/16/2016,0.15,,0.0,r,0.04,,0.28,,0.56,,3.64,
16,10/17/2016,0.13,,0.0,r,-0.05,,0.33,,0.32,,3.96,
17,10/18/2016,0.06,,0.0,r,-0.47,,0.44,,0.40,,4.36,
18,10/19/2016,0.60,,0.0,r,-0.34,,0.75,,0.12,,4.48,
19,10/20/2016,0.23,,0.0,r,-0.34,,0.41,,0.16,,4.64,
20,10/21/2016,0.24,,0.0,r,-0.25,,0.35,,0.00,,4.64,
21,10/22/2016,0.26,,0.0,r,-0.11,,0.36,,0.00,,4.64,
22,10/23/2016,0.18,,0.0,r,-0.26,,0.32,,0.00,,4.64,
23,10/24/2016,0.26,,0.0,r,0.18,,0.39,,0.04,,4.68,
24,10/25/2016,0.32,,0.0,r,0.20,,0.35,,0.64,,5.32,
25,10/26/2016,0.21,,0.0,r,-0.19,,0.40,,0.24,,5.56,
26,10/27/2016,0.16,,0.0,r,0.13,,0.32,,0.40,,5.96,
27,10/28/2016,0.29,,0.0,r,-0.09,,0.31,,1.68,,7.64,
28,10/29/2016,0.22,,0.0,r,0.13,,0.29,,0.16,,7.8,
29,10/30/2016,0.17,,0.0,r,0.03,,1.34,,0.60,,8.4,
30,10/31/2016,1.55,,1.55,r,1.38,,1.87,,0.56,,8.96,
31,11/01/2016,2.23,,2.23,r,2.03,,2.64,,0.56,,9.52,
32,11/02/2016,2.37,,2.37,r,2.26,,2.70,,0.24,,9.76,
33,11/03/2016,2.28,,2.28,r,2.10,,2.54,,0.12,,9.88,
34,11/04/2016,2.07,,2.07,r,1.73,,2.20,,0.00,,9.88,
35,11/05/2016,1.72,,1.72,r,1.09,,1.80,,0.00,,9.88,
36,11/06/2016,1.04,,1.04,r,0.26,,1.06,,0.00,,9.88,
37,11/07/2016,0.17,,0.17,r,-0.29,,0.31,,0.00,,9.88,
38,11/08/2016,0.24,,0.0,r,-0.27,,0.29,,0.00,,9.88,
39,11/09/2016,0.19,,0.0,r,-0.32,,0.22,,0.00,,9.88,
40,11/10/2016,0.18,,0.0,r,-0.39,,0.23,,0.00,,9.88,
41,11/11/2016,0.13,,0.0,r,-0.38,,0.16,,0.00,,9.88,
42,11/12/2016,0.06,,0.0,r,-0.41,,0.20,,0.00,,9.88,
43,11/13/2016,-0.03,,0.0,r,-0.55,,0.14,,0.00,,9.88,
44,11/14/2016,-0.03,,0.0,r,-0.49,,0.13,,0.00,,9.88,
45,11/15/2016,-0.06,,0.0,r,-0.31,,0.19,,0.00,,9.88,
46,11/16/2016,0.01,,0.0,,-0.42,,0.39,,0.00,,9.88,
47,11/17/2016,-0.21,,0.0,,-0.26,,0.51,,0.00,,9.88,
48,11/18/2016,0.00,,0.0,,-0.46,,0.75,,0.00,,9.88,
49,11/19/2016,0.16,,0.16,,0.03,,1.56,,0.00,,9.88,
50,11/20/2016,1.96,,1.96,,1.63,,2.96,,0.44,,10.32,
51,11/21/2016,3.01,,3.01,,2.93,,3.16,,0.20,,10.52,
52,11/22/2016,2.86,,2.86,,2.63,,3.43,,0.00,,10.52,
53,11/23/2016,3.84,,3.84,,3.54,,4.31,,0.16,,10.68,
54,11/24/2016,4.05,,4.05,,4.03,,4.39,,0.08,,10.76,
55,11/25/2016,4.05,,4.05,,3.90,,4.15,,0.00,,10.76,
56,11/26/2016,3.74,,3.74,,3.49,,4.70,,0.00,,10.76,
57,11/27/2016,5.08,,5.08,,4.83,,5.32,,0.32,,11.08,
58,11/28/2016,5.16,,5.16,,5.14,,5.43,,0.04,,11.12,
59,11/29/2016,5.15,,5.15,,5.09,,5.41,,0.04,,11.16,
60,11/30/2016,5.16,,5.16,,5.13,,5.28,,0.00,,11.16,
61,12/01/2016,5.06,,5.06,,4.98,,5.40,,0.00,,11.16,
62,12/02/2016,4.92,,4.92,,4.78,,5.22,,0.00,,11.16,
63,12/03/2016,5.00,,5.0,,4.98,,5.34,,0.16,,11.32,
64,12/04/2016,5.12,,5.12,,4.96,,5.17,,0.00,,11.32,
65,12/05/2016,5.11,,5.11,,4.71,,5.13,,0.00,,11.32,
66,12/06/2016,4.84,,4.84,,4.62,,4.93,,0.00,,11.32,
67,12/07/2016,4.54,,4.54,,4.41,,5.15,,0.00,,11.32,
68,12/08/2016,5.35,,5.35,,5.19,,5.85,,0.68,,12.0,
69,12/09/2016,5.25,,5.25,,4.71,,5.40,,0.76,,12.76,
70,12/10/2016,4.57,,4.57,,3.27,,4.80,,2.72,,15.48,
71,12/11/2016,3.26,,3.26,,3.02,,3.35,,0.00,,15.48,
72,12/12/2016,3.37,,3.37,,3.31,,3.63,,0.08,,15.56,
73,12/13/2016,3.37,,3.37,,3.26,,3.92,,0.12,,15.68,
74,12/14/2016,4.03,,4.03,,2.99,,4.03,,0.44,,16.12,
75,12/15/2016,2.84,,2.84,,2.76,,3.37,,3.32,,19.44,
76,12/16/2016,2.65,,2.65,,2.54,,2.90,,0.16,,19.6,
77,12/17/2016,2.74,,2.74,,2.27,,2.77,,0.16,,19.76,
78,12/18/2016,1.97,,1.97,,1.63,,2.66,,0.00,,19.76,
79,12/19/2016,1.82,,1.82,,1.68,,2.90,,0.12,,19.88,
80,12/20/2016,2.61,,2.61,,2.15,,2.98,,0.04,,19.92,
81,12/21/2016,2.92,,2.92,,2.75,,3.00,,0.00,,19.92,
82,12/22/2016,2.57,,2.57,,0.87,,2.84,,0.00,,19.92,
83,12/23/2016,1.89,,1.89,,1.75,,3.30,,0.00,,19.92,
84,12/24/2016,3.42,,3.42,,3.29,,3.80,,0.20,,20.12,
85,12/25/2016,3.47,,3.47,,3.16,,4.31,,0.00,,20.12,
86,12/26/2016,3.07,,3.07,,3.01,,3.44,,0.08,,20.2,
87,12/27/2016,3.44,,3.44,,3.43,,3.83,,0.04,,20.24,
88,12/28/2016,3.89,,3.89,,3.85,,4.02,,0.16,,20.4,
89,12/29/2016,3.99,,3.99,,3.84,,4.00,,0.04,,20.44,
90,12/30/2016,4.06,,4.06,,3.99,,4.15,,0.00,,20.44,
91,12/31/2016,4.23,,4.23,,4.08,,4.41,,0.00,,20.44,
92,01/01/2017,4.24,,4.24,,3.18,,4.36,,0.00,,20.44,
93,01/02/2017,3.54,,3.54,,3.43,,4.54,,0.00,,20.44,
94,01/03/2017,5.01,,5.01,,4.67,,7.59,,0.28,,20.72,
95,01/04/2017,8.44,,8.44,,7.81,,10.03,,0.52,,21.24,
96,01/05/2017,10.04,,10.04,,9.93,,10.32,,0.28,,21.52,
97,01/06/2017,9.92,,9.92,,9.90,,10.37,,0.00,,21.52,
98,01/07/2017,10.39,,10.39,,10.30,,11.73,,1.64,,23.16,
99,01/08/2017,11.61,,11.61,,11.42,,12.77,,5.68,,28.84,
100,01/09/2017,12.18,,12.18,,12.18,,14.38,,0.40,,29.24,
101,01/10/2017,15.50,,15.5,,14.69,,20.73,,0.88,,30.12,
102,01/11/2017,21.17,,21.17,,20.82,,22.29,,0.12,,30.24,
103,01/12/2017,22.14,,22.14,,22.13,,22.71,,0.40,,30.64,
104,01/13/2017,22.57,,22.57,,22.53,,22.85,,0.80,,31.44,
105,01/14/2017,22.50,,22.5,,22.39,,22.94,,0.00,,31.44,
106,01/15/2017,22.61,,22.61,,22.55,,22.98,,0.04,,31.48,
107,01/16/2017,22.67,,22.67,,22.59,,22.99,,0.00,,31.48,
108,01/17/2017,22.81,,22.81,,22.78,,23.08,,0.00,,31.48,
109,01/18/2017,22.96,,22.96,,22.86,,25.25,,0.24,,31.72,
110,01/19/2017,26.10,,26.1,,25.52,,27.71,,0.56,,32.28,
111,01/20/2017,28.12,,28.12,,27.81,,30.46,,0.32,,32.6,
112,01/21/2017,30.68,,30.68,,30.50,,32.45,,0.36,,32.96,
113,01/22/2017,33.05,,33.05,,32.65,,35.18,,0.56,,33.52,
114,01/23/2017,35.23,,35.23,,35.22,,35.64,,0.60,,34.12,
115,01/24/2017,35.54,,35.54,,35.49,,35.99,,0.20,,34.32,
