,DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,PPT INC INCHES,Unnamed: 6,RAIN INCHES,Unnamed: 8,TEMP MN DEG F,Unnamed: 10,TEMP MX DEG F,Unnamed: 12,TEMP AV DEG F,Unnamed: 14
0,10/01/2016,0.0,,0.0,r,0.00,,0.0,,27,,60,,41,
1,10/02/2016,-0.12,,0.0,r,0.00,,0.0,,22,,49,,31,
2,10/03/2016,0.12,,0.0,r,0.00,,0.0,,21,,31,,27,
3,10/04/2016,0.12,,0.0,r,0.00,,0.0,,28,,48,,35,
4,10/05/2016,0.12,,0.0,r,0.00,,0.0,,28,,52,,38,
5,10/06/2016,0.0,,0.0,r,0.00,,0.0,,29,,58,,42,
6,10/07/2016,0.12,,0.0,r,0.00,,0.0,,39,,65,,51,
7,10/08/2016,0.12,,0.0,r,0.00,,0.0,,45,,74,,55,
8,10/09/2016,0.12,,0.0,r,0.00,,0.0,,46,,71,,55,
9,10/10/2016,0.12,,0.0,r,0.00,,0.0,,41,,63,,50,
10,10/11/2016,0.0,,0.0,r,0.00,,0.0,,37,,63,,49,
11,10/12/2016,0.0,,0.0,r,0.00,,0.0,,40,,68,,49,
12,10/13/2016,0.0,,0.0,r,0.00,,0.0,,38,,53,,44,
13,10/14/2016,0.12,,0.0,r,1.04,,1.04,,33,,39,,37,
14,10/15/2016,0.12,,0.0,r,0.48,,1.52,,32,,37,,35,
15,10/16/2016,0.12,,0.0,r,0.28,,1.8,,30,,37,,33,
16,10/17/2016,0.12,,0.0,r,0.40,,2.2,,28,,39,,32,
17,10/18/2016,0.12,,0.0,r,0.16,,2.36,,28,,46,,34,
18,10/19/2016,0.12,,0.0,r,0.16,,2.52,,27,,50,,37,
19,10/20/2016,0.12,,0.0,r,0.16,,2.68,,35,,65,,46,
20,10/21/2016,0.12,,0.0,r,0.04,,2.72,,40,,63,,48,
21,10/22/2016,0.12,,0.0,r,0.00,,2.72,,39,,55,,44,
22,10/23/2016,0.0,,0.0,r,0.00,,2.72,,37,,52,,43,
23,10/24/2016,0.0,,0.0,r,0.00,,2.72,,34,,40,,37,
24,10/25/2016,0.12,,0.0,r,0.80,,3.52,,35,,38,,37,
25,10/26/2016,0.12,,0.0,r,0.28,,3.8,,36,,51,,41,
26,10/27/2016,0.12,,0.0,r,0.00,,3.8,,36,,41,,39,
27,10/28/2016,0.12,,0.0,r,0.44,,4.24,,37,,40,,39,
28,10/29/2016,0.12,,0.0,r,0.36,,4.6,,35,,39,,38,
29,10/30/2016,0.12,,0.0,r,0.32,,4.92,,27,,38,,33,
30,10/31/2016,0.12,,0.0,r,0.28,,5.2,,25,,33,,29,
31,11/01/2016,0.24,,0.12,r,0.44,,5.64,,26,,36,,30,
32,11/02/2016,0.48,,0.36,r,0.24,,5.88,,27,,51,,36,
33,11/03/2016,0.24,,0.12,r,0.04,,5.92,,32,,50,,40,
34,11/04/2016,0.24,,0.12,r,0.08,,6.0,,36,,58,,45,
35,11/05/2016,0.24,,0.12,r,0.00,,6.0,,36,,53,,43,
36,11/06/2016,0.12,,0.0,r,0.00,,6.0,,35,,41,,38,
37,11/07/2016,0.12,,0.0,r,0.00,,6.0,,35,,56,,44,
38,11/08/2016,0.12,,0.0,r,0.04,,6.04,,38,,63,,48,
39,11/09/2016,0.24,,0.0,r,0.00,,6.04,,41,,63,,50,
40,11/10/2016,0.12,,0.0,r,0.00,,6.04,,42,,61,,49,
41,11/11/2016,0.12,,0.0,r,0.00,,6.04,,41,,56,,46,
42,11/12/2016,0.12,,0.0,r,0.00,,6.04,,36,,47,,41,
43,11/13/2016,0.12,,0.0,r,0.00,,6.04,,38,,56,,44,
44,11/14/2016,0.12,,0.0,r,0.00,,6.04,,39,,57,,44,
45,11/15/2016,0.12,,0.0,r,0.00,,6.04,,30,,43,,37,
46,11/16/2016,0.12,,0.0,r,0.00,,6.04,,19,,42,,27,
47,11/17/2016,-0.12,,0.0,r,0.00,,6.04,,18,,43,,25,
48,11/18/2016,-0.12,,0.0,r,0.00,,6.04,,22,,44,,31,
49,11/19/2016,0.12,,0.0,r,0.48,,6.52,,24,,34,,28,
50,11/20/2016,2.16,,2.04,r,0.28,,6.8,,27,,30,,28,
51,11/21/2016,2.28,,2.16,r,0.16,,6.96,,24,,39,,29,
52,11/22/2016,2.28,,2.16,r,0.04,,7.0,,22,,33,,26,
53,11/23/2016,2.4,,2.28,r,0.32,,7.32,,19,,28,,23,
54,11/24/2016,2.52,,2.4,r,0.08,,7.4,,17,,35,,24,
55,11/25/2016,2.52,,2.4,r,0.00,,7.4,,23,,34,,27,
56,11/26/2016,2.52,,2.4,r,0.20,,7.6,,21,,28,,25,
57,11/27/2016,3.36,,3.24,r,0.28,,7.88,,16,,32,,23,
58,11/28/2016,3.36,,3.24,r,0.12,,8.0,,17,,33,,23,
59,11/29/2016,3.48,,3.36,r,0.04,,8.04,,16,,38,,23,
60,11/30/2016,3.36,,3.24,r,0.00,,8.04,,18,,31,,23,
61,12/01/2016,3.36,,3.24,r,0.04,,8.08,,14,,34,,20,
62,12/02/2016,3.36,,3.24,r,0.00,,8.08,,13,,28,,19,
63,12/03/2016,3.24,,3.12,r,0.12,,8.2,,20,,47,,34,
64,12/04/2016,3.48,,3.36,r,0.00,,8.2,,25,,40,,32,
65,12/05/2016,3.36,,3.24,r,0.00,,8.2,,17,,44,,25,
66,12/06/2016,3.12,,3.0,r,0.00,,8.2,,12,,22,,16,
67,12/07/2016,3.12,,3.0,r,0.00,,8.2,,9,,23,,16,
68,12/08/2016,3.72,,3.6,r,0.32,,8.52,,22,,32,,29,
69,12/09/2016,3.72,,3.6,r,0.36,,8.88,,31,,34,,32,
70,12/10/2016,3.36,,3.24,r,1.72,,10.6,,22,,36,,31,
71,12/11/2016,2.52,,2.4,r,0.04,,10.64,,20,,36,,26,
72,12/12/2016,2.4,,2.28,r,0.04,,10.68,,23,,48,,31,
73,12/13/2016,2.88,,2.76,r,0.04,,10.72,,26,,30,,28,
74,12/14/2016,2.88,,2.76,r,0.32,,11.04,,30,,33,,32,
75,12/15/2016,2.4,,2.28,r,2.92,,13.96,,29,,34,,32,
76,12/16/2016,2.16,,2.04,r,0.08,,14.04,,6,,29,,19,
77,12/17/2016,1.44,,1.32,r,--,,14.04,,6,,29,,11,
78,12/18/2016,0.84,,0.72,r,0.00,,14.04,,--,,--,,--,
79,12/19/2016,1.8,,1.68,r,10.16,,24.2,,31,,48,,37,
80,12/20/2016,2.88,,2.76,r,0.16,,24.36,,28,,53,,37,
81,12/21/2016,4.68,,4.56,r,0.00,,24.36,,23,,34,,26,
82,12/22/2016,5.04,,4.92,r,0.00,,24.36,,21,,39,,27,
83,12/23/2016,5.04,,4.92,r,0.16,,24.52,,18,,27,,23,
84,12/24/2016,5.28,,5.16,r,0.04,,24.56,,7,,24,,14,
85,12/25/2016,5.52,,5.4,r,0.00,,24.56,,6,,28,,12,
86,12/26/2016,5.4,,5.28,r,0.00,,24.56,,7,,27,,15,
